case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg260_mu20_g3072_ns60,260.0,20.0,3072.0,60,0.85,4.0,ok,7.579737973585528e-06,1.2567222981602747e-06,2.437110249671889e-06,0.5123823501663048,2.1895020000010845,2.771822631159795
tg260_mu12_g3072_ns80,260.0,12.0,3072.0,80,0.8,4.0,ok,2.4692456555364282e-06,1.6880537958144507e-06,3.6751666208929053e-06,0.5123578276946724,2.760199199998169,2.858643133087999
tg260_mu16_g3072_ns100,260.0,16.0,3072.0,100,0.85,4.0,ok,5.819801712695345e-06,1.2445531266276645e-06,3.028659491165784e-06,0.5123842093497813,3.58622049999758,2.8713330665073657
tg180_mu20_g3072_ns100,180.0,20.0,3072.0,100,0.85,4.0,ok,1.0994844752757364e-05,1.7974083397492496e-06,1.652803298725226e-06,0.5123805741457934,3.440437400000519,2.8901311309575215
tg220_mu12_g2048_ns60,220.0,12.0,2048.0,60,0.8,4.0,ok,6.550206232833722e-06,1.7553434639239433e-06,2.759690880565651e-06,0.5123556536059414,2.3595075000012002,2.9078757813288485
tg260_mu20_g2560_ns80,260.0,20.0,2560.0,80,0.85,4.0,ok,1.064618663129385e-05,1.2435662295403488e-06,1.981521996797828e-06,0.5123784224905119,2.7318976999995357,2.9361906812665874
tg220_mu20_g3072_ns60,220.0,20.0,3072.0,60,0.85,4.0,ok,8.9576270190848e-06,1.5003547609759798e-06,2.317620236313301e-06,0.5123821258158661,2.2013401000003796,2.9419913806092106
tg180_mu16_g3072_ns80,180.0,16.0,3072.0,80,0.8,4.0,ok,5.045005011994662e-06,2.43746074221761e-06,2.997935110791487e-06,0.5123590723501658,2.991084299999784,2.9586805555835634
tg260_mu20_g2560_ns100,260.0,20.0,2560.0,100,0.85,4.0,ok,1.0663647512531834e-05,1.24535245882978e-06,2.0174780687384626e-06,0.5123784181297821,3.333729299996776,2.9605231715364195
tg180_mu20_g3072_ns80,180.0,20.0,3072.0,80,0.85,4.0,ok,1.0972587330804305e-05,1.7734960291868721e-06,1.799212990547263e-06,0.512380607195322,2.9921775000002526,2.970172117006914
tg220_mu16_g3072_ns100,220.0,16.0,3072.0,100,0.85,4.0,ok,6.877848171393001e-06,1.4706690357827925e-06,2.8802872652778214e-06,0.5123842512146555,3.6116177000003518,2.9752271293466137
tg180_mu20_g3072_ns80,180.0,20.0,3072.0,80,0.8,4.0,ok,6.683566928942249e-06,2.436603850407232e-06,2.6478868098054445e-06,0.5123572593163103,4.309490699997696,2.983868299493794
tg180_mu20_g2048_ns100,180.0,20.0,2048.0,100,0.8,4.0,ok,1.5534560911632358e-05,1.8013580185549724e-06,7.523328009585159e-07,0.5123452134782079,3.3582656999969913,3.0025480933424005
tg260_mu20_g2560_ns60,260.0,20.0,2560.0,60,0.85,4.0,ok,1.0618391599280491e-05,1.2912853419996862e-06,2.106916545585127e-06,0.5123784762886052,2.187945599998784,3.0158815692830983
tg260_mu16_g3072_ns80,260.0,16.0,3072.0,80,0.85,4.0,ok,5.808358802063717e-06,1.2203705469364067e-06,3.301492417697835e-06,0.5123841778629721,2.894600100000389,3.0284928494388135
tg220_mu12_g3072_ns80,220.0,12.0,3072.0,80,0.8,4.0,ok,2.9168079837630556e-06,1.9950660294290337e-06,3.7622648127399754e-06,0.5123583282452466,2.7739661000014166,3.0306268543975494
tg260_mu20_g2560_ns60,260.0,20.0,2560.0,60,0.8,4.0,ok,6.7696315860929555e-06,2.010494503217959e-06,2.845858049037636e-06,0.5123480843534665,2.174333899998601,3.037200872135438
tg220_mu20_g2048_ns60,220.0,20.0,2048.0,60,0.8,4.0,ok,1.2670001682728767e-05,1.8004447902889742e-06,1.5402590334862503e-06,0.5123478058190643,2.1897590999979,3.0633288989982743
tg180_mu20_g2048_ns80,180.0,20.0,2048.0,80,0.8,4.0,ok,1.550946602335487e-05,1.7425211256582953e-06,9.059058038002288e-07,0.5123453080937503,2.7545255000004545,3.0801225950551814
